調査地点略称,水深,採水月日,採水時刻,天候,"気温 （℃）","全水深 （ｍ）",特記事項,"水温 (℃)"
今津沖中央（17B）,0.5m,2013/01/07,11:24,曇,8.8,89.0,,8.7
今津沖中央（17B）,0.5m,2013/01/21,11:05,曇,7.0,89.0,,8.0
今津沖中央（17B）,0.5m,2013/02/04,11:40,曇,5.9,89.5,,7.5
今津沖中央（17B）,0.5m,2013/02/18,11:45,雨,6.9,89.4,,7.0
今津沖中央（17B）,0.5m,2013/03/04,11:15,晴,9.8,89.0,,7.0
今津沖中央（17B）,0.5m,2013/03/13,11:25,晴,15.8,89.5,,7.4
今津沖中央（17B）,0.5m,2013/04/08,11:40,晴,14.3,88.9,,7.7
今津沖中央（17B）,0.5m,2013/04/23,11:05,曇,12.8,89.4,,9.1
今津沖中央（17B）,0.5m,2013/05/08,11:15,快晴,15.0,89.2,,10.4
今津沖中央（17B）,0.5m,2013/05/20,11:40,晴,21.3,89.1,,16.3
今津沖中央（17B）,0.5m,2013/06/03,11:30,晴,22.6,88.4,,18.2
今津沖中央（17B）,0.5m,2013/06/17,11:15,晴,24.0,88.9,,22.4
今津沖中央（17B）,0.5m,2013/07/01,11:30,晴,25.0,89.2,,23.4
今津沖中央（17B）,0.5m,2013/07/16,11:45,曇,26.1,88.1,,27.9
今津沖中央（17B）,0.5m,2013/08/05,11:20,晴,28.7,88.5,,28.5
今津沖中央（17B）,0.5m,2013/08/19,11:10,快晴,30.2,88.2,,29.9
今津沖中央（17B）,0.5m,2013/09/02,11:40,雨,26.1,89.2,,27.7
今津沖中央（17B）,0.5m,2013/09/24,12:55,晴,28.0,89.1,,26.1
今津沖中央（17B）,0.5m,2013/10/07,11:25,曇,25.0,88.7,,22.5
今津沖中央（17B）,0.5m,2013/10/21,11:35,晴,23.3,88.2,,20.3
今津沖中央（17B）,0.5m,2013/11/05,11:42,晴,19.8,88.9,,17.7
今津沖中央（17B）,0.5m,2013/11/18,11:10,晴,16.0,88.8,,16.2
今津沖中央（17B）,0.5m,2013/12/02,11:30,晴,12.7,89.3,,13.8
今津沖中央（17B）,0.5m,2013/12/17,11:15,曇,11.5,89.1,,11.5
今津沖中央（17B）,0.5m,2014/01/06,11:30,晴,9.3,88.1,,9.5
今津沖中央（17B）,0.5m,2014/01/20,11:10,晴,6.5,87.9,,8.7
今津沖中央（17B）,0.5m,2014/02/03,11:25,曇,10.0,88.5,,8.6
今津沖中央（17B）,0.5m,2014/02/17,11:30,雨,7.3,89.3,,7.6
今津沖中央（17B）,0.5m,2014/03/04,11:20,晴,8.5,88.9,,7.8
今津沖中央（17B）,0.5m,2014/03/11,11:10,晴,8.9,88.5,,7.5
今津沖中央（17B）,0.5m,2014/04/07,11:30,晴,11.8,88.1,,8.3
今津沖中央（17B）,0.5m,2014/04/21,11:05,曇,12.1,88.4,,9.8
今津沖中央（17B）,0.5m,2014/05/07,11:55,快晴,17.2,89.2,,13.4
今津沖中央（17B）,0.5m,2014/05/19,11:10,晴,21.0,89.2,,16.0
今津沖中央（17B）,0.5m,2014/06/02,11:35,晴,24.5,88.9,,20.8
今津沖中央（17B）,0.5m,2014/06/16,11:45,晴,25.2,88.6,,22.5
今津沖中央（17B）,0.5m,2014/07/07,11:55,雨,25.0,88.9,,24.0
今津沖中央（17B）,0.5m,2014/07/22,11:30,晴,31.8,88.7,,27.8
今津沖中央（17B）,0.5m,2014/08/04,11:30,曇,26.1,88.3,,27.8
今津沖中央（17B）,0.5m,2014/08/18,11:20,晴,29.5,89.0,,26.8
今津沖中央（17B）,0.5m,2014/09/01,11:40,雨,25.1,88.4,,26.3
今津沖中央（17B）,0.5m,2014/09/16,10:00,晴,24.4,87.8,,24.7
今津沖中央（17B）,0.5m,2014/10/08,11:25,快晴,23.6,88.6,,21.7
今津沖中央（17B）,0.5m,2014/10/20,11:10,曇,20.4,89.4,,18.9
今津沖中央（17B）,0.5m,2014/11/04,11:05,快晴,19.0,89.4,,17.2
今津沖中央（17B）,0.5m,2014/11/17,11:15,晴,14.7,89.6,,15.8
今津沖中央（17B）,0.5m,2014/12/03,11:05,晴,10.7,87.8,,14.0
今津沖中央（17B）,0.5m,2014/12/15,11:10,曇,5.9,89.4,,11.7
今津沖中央（17B）,0.5m,2015/01/05,11:20,晴,12.0,89.3,,9.3
今津沖中央（17B）,0.5m,2015/01/20,11:15,晴,7.4,88.9,,8.3
今津沖中央（17B）,0.5m,2015/02/02,11:45,曇,7.0,88.8,,7.7
今津沖中央（17B）,0.5m,2015/02/16,11:25,晴,12.3,89.5,,7.4
今津沖中央（17B）,0.5m,2015/03/02,12:40,晴,10.3,88.3,,7.3
今津沖中央（17B）,0.5m,2015/03/09,11:30,雨,10.8,88.2,,7.6
今津沖中央（17B）,0.5m,2015/04/06,12:15,曇,13.9,90.2,,9.4
今津沖中央（17B）,0.5m,2015/04/22,11:10,晴,18.5,88.5,,11.0
今津沖中央（17B）,0.5m,2015/05/11,11:45,晴,20.0,88.6,,13.6
今津沖中央（17B）,0.5m,2015/05/18,11:10,晴,21.1,88.1,,16.9
今津沖中央（17B）,0.5m,2015/06/01,11:40,晴,25.0,89.0,,17.0
今津沖中央（17B）,0.5m,2015/06/15,11:15,晴,27.7,87.8,,21.2
今津沖中央（17B）,0.5m,2015/07/06,11:50,曇,23.0,88.3,,22.6
今津沖中央（17B）,0.5m,2015/07/21,11:20,曇,29.0,88.6,,25.2
今津沖中央（17B）,0.5m,2015/08/03,11:40,快晴,35.0,87.5,,28.8
今津沖中央（17B）,0.5m,2015/08/17,11:20,曇,27.2,89.2,,28.2
